gateway_norm,weeks_observed,problem_rate,avg_current_success
0656377B3078,1,0.0,1.0
065B928716CD,25,0.04,0.8896296296296297
065C003A8D0C,25,0.0,0.8770037453183521
066430BA5119,25,0.0,0.9286215538847118
0665C3FE6D67,25,0.08,0.8958579881656804
06711BE6AD2A,25,0.0,0.9333333333333332
06787526FEB3,25,0.4,0.7685106382978724
0683D2A8DA42,25,0.0,0.9310144927536231
068553B3AA23,25,0.4,0.7340350877192983
0687F36E02C6,25,0.0,0.9308609271523178
06903F988F32,6,1.0,0.2519723865877712
0693096C4C42,8,0.0,0.9219771241830065
069357B9F15F,25,0.52,0.631764705882353
06981FD8AA87,25,0.0,0.8964028776978418
069A98DEEB1D,25,0.64,0.5616793893129771
069FB4585F6E,1,0.0,0.9571428571428572
06AA1DE70CBF,25,0.0,0.9286956521739129
06AAA28A5D6B,25,0.0,0.9246511627906976
06AEE181F595,25,0.32,0.7985882352941176
06B162DC93E3,25,0.32,0.8247619047619048
06B641B75B29,25,0.6,0.6028054298642533
06C0D5E3BCDB,25,0.36,0.7316334661354581
06C0F27E810B,20,0.0,0.9218181818181819
06C67619095C,25,0.0,0.8984223918575064
06C77FEA9550,25,0.0,0.9014814814814816
06C98DF4F0FA,25,0.0,0.9224334600760455
06CE0F3CFB3C,25,0.48,0.7567213114754098
06D0342253A0,25,0.0,0.9225396825396825
06D388A19D5D,25,0.0,0.9535384615384614
06D6B7018E15,25,0.0,0.9214379084967321
06D7F6C73E0C,25,0.24,0.8363934426229508
06D84598CCB4,25,0.28,0.8527868852459016
06DAF11BD38F,25,0.28,0.8326315789473684
06DF118D7989,10,0.0,0.9111111111111111
06EA136A2996,25,0.04,0.8928780487804877
06EDBAE64B57,25,0.0,0.94359375
06EEBD283262,25,0.0,0.9385858585858585
06EFD61B80ED,25,0.04,0.9155844155844156
06F2469B50EF,25,0.0,0.9050980392156863
06F2CDBD2C41,25,0.28,0.7866666666666667
06F40EA87663,25,0.0,0.9178378378378379
06F49BD8F572,25,0.44,0.7379865771812081
06FDA7D7B22A,25,0.16,0.8940408163265307
06FFEC2EFA5E,25,0.28,0.8112449799196787
0A0B47664A85,25,0.04,0.9129999999999999
0A10201AFE0A,25,0.0,0.9328301886792453
0A1037E90A63,25,0.0,0.9482456140350877
0A10A5A5056E,25,0.0,0.9211428571428572
0A15BC628AFC,25,0.24,0.8719266055045871
0A182EFD3C61,25,0.04,0.8816129032258064
0A184A2E46B7,25,0.4,0.6970000000000001
0A19C62F4F6D,25,0.2,0.8737662337662337
0A1FB1C98A92,25,0.48,0.7145038167938931
0A23474F1944,25,0.0,0.9440650406504065
0A25F6E3466C,25,0.32,0.7460869565217391
0A268A7E40CD,25,0.0,0.9313821138211382
0A272C5A2C9B,25,0.0,0.9377142857142857
0A2778A31BE3,25,0.08,0.9137142857142857
0A3528D089D9,25,0.0,0.9383132530120482
0A3983033084,25,0.0,0.893913043478261
0A42B2DB6370,25,0.0,0.9421052631578947
0A4673793B3E,25,0.0,0.9614571948998178
0A485668F5C0,25,0.08,0.881259842519685
0A4C884F240A,25,0.2,0.8394618834080717
0A4E33E2692B,25,0.32,0.7630588235294118
0A52DDE896BF,25,0.68,0.6372727272727272
0A55DA266F71,25,0.48,0.733
0A568E79FEF6,25,0.56,0.47319148936170213
0A57338657F8,25,0.0,0.9690909090909091
0A57A684E20B,25,0.0,0.9194771241830065
0A58FAD26D9D,3,0.0,0.9783549783549783
0A5C1439B384,25,0.0,0.9219753086419753
0A5D017E401E,25,0.44,0.607887323943662
0A5E96449374,25,0.12,0.8498461538461538
0A61E3165158,25,0.0,0.9298492462311557
0A62EECEEBD1,25,0.28,0.853386454183267
0A6324E3E043,25,0.16,0.8923076923076922
0A6390E0FBA4,25,0.12,0.8645614035087719
0A663B6B4B28,25,0.12,0.843529411764706
0A682ED9C6DD,25,0.52,0.7257142857142856
0A68A2032450,25,0.64,0.6314705882352941
0A68DF0B3D07,25,0.0,0.9465753424657534
0A68F38A6ACF,25,0.36,0.6846153846153846
0A6C571A1550,25,0.0,0.9442424242424242
0A6D3595373D,25,0.0,0.9305263157894736
0A6DA0C82CCB,25,0.0,0.9236781609195402
0A71A6F9D6C6,25,0.0,0.9350537634408602
0A78701F2DCA,3,0.0,0.9191919191919192
0A78FAF47B00,25,0.0,0.9136585365853658
0A7AAFDD9E11,25,0.36,0.8032258064516129
0A7AC5BDAF86,25,0.56,0.6241311475409836
0A7CCAB29381,1,0.0,0.9295774647887324
0A800188C20F,25,0.0,0.9107843137254902
0A8407CF4D85,25,0.0,0.9245762711864407
0A87B8C2734F,25,0.0,0.8937662337662338
0A8EA87BB037,25,0.0,0.940375
0A9547C11A56,25,0.4,0.720983606557377
0A96EACD8070,25,0.44,0.6932692307692307
0A974F5D7D8C,25,0.28,0.7948387096774193
0A9A3BFD6C9B,25,0.0,0.950077519379845
0AA18F330F59,25,0.56,0.6838461538461539
0AA2818A7B27,25,0.0,0.9414285714285714
0AA296FF247D,25,0.04,0.9041758241758242
0AA2F2CAB50B,25,0.36,0.8117647058823529
0AA3F18DE550,25,0.28,0.8296183206106871
0AA473D2FC17,25,0.44,0.7481188118811882
0AA4B065E5A5,25,0.24,0.83232
0AA9051FFFFA,25,0.0,0.9538461538461539
0AB410184143,12,0.0,0.911590524534687
0AB5F9C21BF8,25,0.44,0.6282170542635659
0AB6B45C775A,25,0.44,0.730251256281407
0AB97B7632EB,25,0.0,0.955265306122449
0ABC8E60F4C1,25,0.0,0.9086419753086419
0ABD2E513F79,25,0.16,0.8736507936507937
0ABE42BE4165,25,0.0,0.9153153153153153
0AC437023B18,25,0.68,0.3611594202898551
0AD276FC5E27,25,0.24,0.8473469387755103
0AD2C92E9756,25,0.08,0.901010101010101
0ADD02AB693D,25,0.28,0.7729411764705882
0AE03793586F,25,0.0,0.9224561403508771
0AE21E7A17E4,25,0.0,0.926829268292683
0AE6BF39C720,25,0.0,0.9277922077922078
0AEF10F3A994,20,0.3,0.798611111111111
0AF1F0E3B640,25,0.0,0.9146666666666667
0AF51D7D0F73,25,0.04,0.881259842519685
0AF8DCB98E4B,25,0.4,0.7934883720930234
0AF9846E92DD,25,0.76,0.6821301775147929
0AFB7B311996,25,0.2,0.8319170984455958
0AFE702BB093,25,0.16,0.8500900900900901
0AFFC263C0D9,25,0.64,0.671919191919192
0E03D8F69853,25,0.32,0.7791304347826088
0E0A8D6EB6B9,25,0.12,0.8488095238095238
0E0C3EB7915D,25,0.04,0.9143478260869565
0E0E2996F51A,25,0.0,0.8973913043478261
0E113B01A9A2,25,0.32,0.8054237288135593
0E11F69747A8,25,0.0,0.9510810810810811
0E121B6B8661,25,0.4,0.7121875
0E1B6F4DBA34,25,0.08,0.8883333333333333
0E1C622E61BC,25,0.0,0.9238297872340425
0E1D7CA1DB0C,25,0.0,0.9472761904761904
0E21C239D865,25,0.0,0.945985401459854
0E2575C7EE05,25,0.0,0.9230222222222223
0E2728C481CA,25,0.0,0.8854368932038835
0E293C5E4650,25,0.0,0.9108771929824562
0E2DEE345837,25,0.0,0.9432061068702291
0E31C429C185,25,0.0,0.929655172413793
0E34282F4B53,25,0.0,0.9404784688995216
0E3D06A07E94,19,0.3684210526315789,0.808570097810899
0E3D96237639,25,0.36,0.7722033898305085
0E3E1361EF6B,2,0.0,0.945578231292517
0E41CF7F74D5,25,0.0,0.9424210526315789
0E462188408C,25,0.0,0.9666285714285715
0E485CCBF90A,3,0.0,0.8559322033898304
0E4CE5FB4405,25,0.0,0.8719597989949749
0E50A5B2E5C4,25,0.0,0.9287209302325582
0E5303C82FCB,2,0.0,0.957983193277311
0E543D410B0C,25,0.0,0.9459872611464968
0E55F28AB569,25,0.48,0.6816161616161617
0E5A9CEA8093,25,0.04,0.8936612021857924
0E5CD9B19DCB,25,0.52,0.7362277580071175
0E5DFCF65AD4,25,0.6,0.6903896103896103
0E61D34F9993,25,0.52,0.6120710059171598
0E69783262BE,25,0.0,0.9144278606965175
0E69C64B6E57,25,0.0,0.9295652173913044
0E6A7794AFC7,25,0.12,0.871394422310757
0E6ACE6D3146,25,0.0,0.942984126984127
0E6D2CBAED41,25,0.0,0.8936986301369864
0E6DD6464541,1,0.0,0.9798994974874372
0E752F1B295C,25,0.44,0.7975232198142415
0E7A8A5414C2,25,0.16,0.9179574468085105
0E892C46A442,25,0.0,0.9474666666666667
0E89F7D5B5BD,25,0.4,0.7629343629343629
0E8B8566815B,25,0.04,0.8810486891385767
0E8CF9CA526F,25,0.0,0.95
0E8F36DAB9C2,25,0.12,0.84128
0E9761D8EB58,25,0.36,0.6998765432098766
0E9A30D927A5,25,0.28,0.8074418604651163
0E9C29FF940E,3,0.0,0.9596774193548386
0E9DC914D8DF,25,0.08,0.9205298013245033
0EA0447DA91C,25,0.52,0.631044776119403
0EA22CFA3A24,25,0.12,0.8802836879432624
0EA52A2A7581,25,0.08,0.9022222222222221
0EAEFEAEFB09,25,0.0,0.9455757575757576
0EB04F2114F4,25,0.0,0.968030888030888
0EB6B31D8AFB,25,0.04,0.9185714285714286
0EBF1B27CDE1,25,0.44,0.7055737704918034
0EC8A35D0C20,25,0.24,0.846887417218543
0ED0849FD6D8,25,0.28,0.7709999999999999
0ED1E9DBD593,25,0.16,0.8710638297872341
0ED4052A2763,25,0.12,0.9094505494505495
0ED5057ECE3F,25,0.12,0.84593837535014
0EDC7177CCA9,25,0.36,0.7861111111111111
0EE071F7B24A,25,0.16,0.8633802816901408
0EE09EDA649F,25,0.0,0.8753667953667954
0EE317BA7C52,25,0.6,0.5674766355140187
0EE51B79E853,25,0.0,0.9410309278350515
0EE78E4317BB,25,0.2,0.8443478260869566
0EE9497950EE,25,0.0,0.94777633289987
0EEA98D1BFDB,25,0.0,0.943304940374787
0EECB108FF91,25,0.0,0.9220289855072464
0EF023E6452D,25,0.08,0.8930081300813008
0EF08481B333,25,0.0,0.9389473684210526
0EF437108E63,25,0.24,0.8279569892473119
0EF47B410B41,25,0.04,0.8887591240875912
0EFD600E2623,25,0.0,0.9433557046979866
